investor_id,transaction_type,sip_amount,age_group,gender
INV002599,Lumpsum,286111,26-35,Male
INV003626,Redemption,483044,26-35,Male
INV000690,Lumpsum,173646,46-55,Male
INV001860,SIP,1978,26-35,Female
INV002065,SIP,47647,46-55,Male
INV002708,Redemption,205486,26-35,Male
INV004288,Lumpsum,95676,18-25,Female
INV004581,SIP,2292,26-35,Male
INV002467,SIP,50948,36-45,Male
INV003670,SIP,8793,36-45,Male
INV004024,SIP,43121,36-45,Male
INV000747,Lumpsum,374549,36-45,Female
INV002847,SIP,4736,26-35,Male
INV001508,SIP,7953,46-55,Male
INV004562,SIP,963,26-35,Female
INV001350,Lumpsum,83480,46-55,Female
INV002357,SIP,26713,26-35,Male
INV002059,Lumpsum,268619,46-55,Male
INV000595,Lumpsum,124825,18-25,Male
INV004391,SIP,484,26-35,Female
INV004733,SIP,7080,18-25,Male
INV002865,Redemption,449863,18-25,Male
INV000454,SIP,15910,18-25,Female
INV002414,Lumpsum,396379,26-35,Female
INV000321,SIP,15782,26-35,Male
INV003379,SIP,1008,36-45,Male
INV004544,Redemption,410715,36-45,Male
INV000527,Lumpsum,114021,26-35,Male
INV004633,Lumpsum,296354,18-25,Female
INV003737,Lumpsum,126721,18-25,Male
INV000679,Redemption,141968,46-55,Female
INV004357,SIP,2459,46-55,Female
INV004941,Lumpsum,310085,26-35,Male
INV000632,Lumpsum,246606,36-45,Male
INV000849,Lumpsum,254442,56+,Female
INV001167,SIP,41124,36-45,Male
INV000007,SIP,13603,26-35,Male
INV000431,SIP,23759,18-25,Female
INV002417,SIP,2719,26-35,Male
INV000011,SIP,2230,26-35,Male
INV001167,SIP,8419,36-45,Male
INV000954,SIP,2224,26-35,Female
INV002101,Redemption,234810,26-35,Male
INV000947,Redemption,281989,26-35,Male
INV004867,Lumpsum,331777,18-25,Male
INV004125,SIP,2999,26-35,Male
INV001910,Redemption,502057,26-35,Female
INV001411,SIP,2998,26-35,Female
INV003326,SIP,2712,36-45,Male
INV004173,SIP,479,26-35,Male
INV004867,SIP,3082,18-25,Male
INV001454,SIP,554,26-35,Male
INV003100,Lumpsum,361700,26-35,Male
INV000215,Lumpsum,190843,26-35,Female
INV003191,Lumpsum,94475,18-25,Female
INV003946,Lumpsum,465127,26-35,Female
INV000330,SIP,8747,26-35,Female
INV004797,Lumpsum,178854,56+,Male
INV000330,Lumpsum,351770,26-35,Female
INV001128,Lumpsum,168521,36-45,Female
INV002302,Lumpsum,153713,26-35,Male
INV002495,SIP,2727,26-35,Male
INV002158,Lumpsum,39096,26-35,Male
INV000144,SIP,499,26-35,Male
INV004563,Lumpsum,38117,46-55,Female
INV002912,Redemption,520148,26-35,Female
INV002343,SIP,1182,26-35,Male
INV000091,SIP,2368,26-35,Male
INV004688,Lumpsum,168104,26-35,Male
INV004321,SIP,1147,26-35,Male
INV001579,SIP,40657,46-55,Male
INV003705,SIP,57004,26-35,Male
INV000544,Lumpsum,295246,18-25,Male
INV001997,SIP,908,56+,Female
INV003707,SIP,3527,36-45,Female
INV000372,Lumpsum,209421,36-45,Male
INV001331,SIP,568,26-35,Male
INV002033,SIP,8905,46-55,Male
INV003953,SIP,58436,36-45,Male
INV003500,SIP,2007,26-35,Male
INV003240,SIP,6686,26-35,Male
INV003040,Lumpsum,468352,26-35,Female
INV000663,SIP,558,26-35,Female
INV003083,Lumpsum,201815,56+,Female
INV004131,SIP,2343,26-35,Male
INV001806,SIP,20256,36-45,Male
INV001190,SIP,9909,26-35,Male
INV004939,SIP,25211,18-25,Male
INV004896,Lumpsum,22023,18-25,Female
INV004682,SIP,571,26-35,Female
INV002891,SIP,2202,36-45,Female
INV002400,SIP,11693,36-45,Male
INV004138,SIP,827,36-45,Male
INV003489,SIP,11426,26-35,Male
INV004602,SIP,28337,26-35,Female
INV004593,Lumpsum,65501,26-35,Male
INV003394,SIP,13339,26-35,Male
INV002056,SIP,5980,18-25,Female
INV004770,SIP,8263,18-25,Female
INV002862,SIP,1123,56+,Male
INV003414,SIP,2730,36-45,Female
INV000803,SIP,4906,26-35,Female
INV004353,Lumpsum,20266,56+,Male
INV001553,Redemption,125745,26-35,Male
INV003579,Lumpsum,518933,18-25,Male
INV003410,SIP,1826,26-35,Male
INV003409,Redemption,255163,46-55,Male
INV002554,SIP,8997,18-25,Male
INV004059,SIP,7638,26-35,Female
INV000639,Lumpsum,286253,18-25,Female
INV002219,SIP,5981,26-35,Male
INV002960,SIP,15426,36-45,Male
INV003342,Redemption,345140,56+,Male
INV002748,SIP,533,26-35,Male
INV004880,SIP,6167,26-35,Male
INV002436,SIP,5899,46-55,Male
INV002659,Redemption,218077,36-45,Female
INV003196,SIP,2483,26-35,Female
INV000874,SIP,1162,56+,Male
INV000386,SIP,57205,36-45,Male
INV001536,SIP,1762,26-35,Male
INV002642,SIP,911,46-55,Female
INV004452,SIP,4901,26-35,Male
INV003171,SIP,5100,36-45,Female
INV000926,SIP,7278,36-45,Male
INV001070,SIP,52410,26-35,Male
INV004919,Lumpsum,243656,26-35,Male
INV002656,Lumpsum,265566,26-35,Male
INV003072,SIP,28652,18-25,Male
INV003846,Redemption,8986,46-55,Female
INV004400,Lumpsum,522907,26-35,Male
INV003028,SIP,7663,26-35,Female
INV004733,SIP,822,18-25,Male
INV002610,SIP,4252,36-45,Female
INV000476,SIP,47424,46-55,Female
INV003516,Lumpsum,363022,36-45,Female
INV000181,SIP,8019,36-45,Male
INV002225,SIP,2284,46-55,Male
INV003251,Lumpsum,341468,36-45,Female
INV003193,SIP,4260,36-45,Male
INV004998,Lumpsum,295114,36-45,Male
INV004981,SIP,7677,18-25,Male
INV003075,SIP,8649,46-55,Male
INV001651,SIP,6844,18-25,Male
INV004478,Redemption,308976,26-35,Male
INV004743,SIP,15224,36-45,Male
INV003198,SIP,46712,46-55,Female
INV003076,Redemption,197940,26-35,Male
INV003427,Redemption,193289,18-25,Male
INV003505,Redemption,13457,56+,Female
INV001811,Lumpsum,48636,18-25,Male
INV000762,Lumpsum,141489,36-45,Female
INV001930,SIP,1092,26-35,Female
INV000535,SIP,26387,36-45,Male
INV000642,Redemption,413094,26-35,Male
INV003641,SIP,6819,26-35,Female
INV001027,Redemption,347503,46-55,Female
INV000058,Lumpsum,248336,26-35,Male
INV004257,Redemption,301471,36-45,Male
INV004889,Lumpsum,330076,46-55,Male
INV003063,SIP,869,36-45,Female
INV001269,Lumpsum,432672,26-35,Male
INV003937,Lumpsum,451983,56+,Male
INV000786,SIP,1199,26-35,Male
INV002567,SIP,9018,36-45,Male
INV004992,SIP,434,26-35,Male
INV001636,SIP,8674,18-25,Male
INV004902,Lumpsum,25230,18-25,Female
INV002947,SIP,8881,46-55,Male
INV003795,SIP,4746,18-25,Male
INV003216,Lumpsum,59528,36-45,Male
INV001629,Lumpsum,26213,26-35,Male
INV002611,Redemption,373343,26-35,Male
INV004340,Redemption,151645,26-35,Male
INV004096,SIP,44821,36-45,Male
INV004291,Redemption,402785,56+,Female
INV002154,Redemption,188124,36-45,Male
INV004414,Redemption,294110,26-35,Male
INV000854,SIP,2770,46-55,Female
INV001295,SIP,6736,36-45,Male
INV000461,SIP,10676,36-45,Male
INV000065,Redemption,89612,46-55,Female
INV003211,Lumpsum,405816,36-45,Male
INV002530,SIP,13177,36-45,Male
INV004472,Lumpsum,331877,26-35,Female
INV000791,SIP,13272,26-35,Male
INV000797,Redemption,372649,36-45,Female
INV003744,Lumpsum,123594,18-25,Female
INV001492,SIP,2167,26-35,Male
INV002796,Lumpsum,115644,36-45,Male
INV001304,SIP,5514,26-35,Male
INV003998,SIP,11973,26-35,Male
INV001058,Lumpsum,33691,36-45,Male
INV003636,SIP,2299,46-55,Female
INV001630,SIP,27077,36-45,Male
INV003991,SIP,3089,26-35,Female
INV000668,SIP,2570,18-25,Male
INV001848,SIP,16080,26-35,Male
INV003876,Redemption,237658,18-25,Male
INV003022,Lumpsum,445481,46-55,Male
INV002250,Lumpsum,554938,36-45,Male
INV004594,Lumpsum,119338,26-35,Female
INV001283,Lumpsum,33527,18-25,Male
INV002835,SIP,5894,26-35,Male
INV002776,SIP,989,18-25,Male
INV003143,Lumpsum,249341,18-25,Female
INV003696,Lumpsum,401559,18-25,Female
INV000783,Lumpsum,60606,46-55,Male
INV000783,Lumpsum,330093,46-55,Male
INV003060,SIP,10941,56+,Female
INV000974,SIP,6150,46-55,Male
INV000126,Lumpsum,151709,26-35,Male
INV004134,SIP,3144,36-45,Male
INV001131,Lumpsum,513257,36-45,Female
INV004811,Redemption,39649,26-35,Female
INV003691,SIP,1128,18-25,Male
INV001902,SIP,2179,46-55,Female
INV004230,Lumpsum,31627,18-25,Female
INV001923,SIP,1042,18-25,Female
INV002658,Lumpsum,41413,26-35,Female
INV001953,Lumpsum,420171,46-55,Male
INV002565,Lumpsum,63809,26-35,Male
INV001770,Lumpsum,138095,18-25,Male
INV000960,SIP,12641,46-55,Male
INV001924,SIP,2361,18-25,Male
INV003097,SIP,9469,26-35,Male
INV000166,SIP,2824,26-35,Male
INV001870,SIP,57785,26-35,Male
INV004329,SIP,2439,18-25,Female
INV004832,Redemption,359828,18-25,Male
INV001043,SIP,3166,18-25,Male
INV001656,Redemption,357463,26-35,Male
INV004412,SIP,2615,26-35,Female
INV003040,SIP,1616,26-35,Female
INV002034,SIP,28965,26-35,Male
INV004185,SIP,2625,46-55,Male
INV000182,Redemption,309923,36-45,Male
INV004497,SIP,42251,26-35,Female
INV000163,SIP,26952,46-55,Male
INV003894,Lumpsum,404974,26-35,Male
INV001720,Redemption,197973,36-45,Male
INV000104,SIP,29462,26-35,Male
INV002548,SIP,59410,26-35,Male
INV002329,SIP,8132,56+,Male
INV003070,SIP,26490,26-35,Male
INV003564,SIP,53136,18-25,Male
INV000408,Redemption,118820,56+,Male
INV000231,Redemption,221924,26-35,Female
INV000091,SIP,8317,26-35,Male
INV001735,SIP,16939,56+,Male
INV000894,Redemption,219820,36-45,Female
INV000962,Lumpsum,422124,26-35,Male
INV001723,SIP,6112,26-35,Male
INV003085,Redemption,181536,36-45,Female
INV003325,SIP,2768,26-35,Male
INV004132,Lumpsum,263193,18-25,Male
INV003322,SIP,4204,26-35,Male
INV004841,SIP,592,26-35,Male
INV004119,Redemption,376569,26-35,Female
INV001476,SIP,10756,36-45,Male
INV000667,Lumpsum,390649,26-35,Male
INV001689,Lumpsum,473543,36-45,Male
INV003422,SIP,17031,26-35,Male
INV002471,SIP,1126,18-25,Male
INV001274,Lumpsum,136990,36-45,Female
INV004336,Lumpsum,117691,46-55,Female
INV001036,SIP,2621,46-55,Female
INV001363,SIP,58920,56+,Male
INV000339,Lumpsum,133844,26-35,Male
INV003377,Lumpsum,275934,36-45,Male
INV002732,SIP,1047,18-25,Male
INV000766,SIP,7948,46-55,Male
INV004894,SIP,2960,26-35,Female
INV000308,Redemption,15648,36-45,Male
INV000307,Lumpsum,81645,18-25,Male
INV004258,Redemption,57695,36-45,Male
INV003343,Redemption,96619,36-45,Male
INV004639,Redemption,396767,18-25,Female
INV001491,SIP,4575,56+,Male
INV001006,SIP,2104,56+,Female
INV000288,SIP,55146,26-35,Male
INV003054,SIP,6158,56+,Female
INV004349,Lumpsum,416883,26-35,Female
INV003341,Lumpsum,76277,26-35,Male
INV004754,SIP,4842,36-45,Female
INV002870,Lumpsum,423490,26-35,Female
INV003411,SIP,2954,26-35,Male
INV000155,Redemption,230658,26-35,Female
INV000855,SIP,490,56+,Male
INV004185,SIP,2462,46-55,Male
INV002834,Redemption,368938,18-25,Male
INV004498,Redemption,253111,26-35,Male
INV004008,SIP,471,46-55,Male
INV001602,SIP,17107,36-45,Male
INV003319,SIP,4604,26-35,Male
INV001447,Redemption,75406,26-35,Female
INV002599,SIP,2827,26-35,Male
INV000032,Redemption,291165,36-45,Male
INV002505,SIP,8163,36-45,Female
INV000583,Redemption,344315,26-35,Male
INV000476,SIP,9845,46-55,Female
INV004427,SIP,12756,36-45,Female
INV000540,Redemption,410824,26-35,Female
INV001961,SIP,2278,26-35,Male
INV003279,SIP,14432,46-55,Female
INV002329,SIP,26835,56+,Male
INV000542,SIP,2033,36-45,Male
INV004576,Redemption,200234,46-55,Male
INV001311,SIP,553,26-35,Male
INV001327,SIP,5741,36-45,Male
INV002361,SIP,42978,36-45,Male
INV004088,Lumpsum,225281,36-45,Male
INV001581,Lumpsum,194939,18-25,Female
INV004493,Redemption,115716,36-45,Male
INV000309,SIP,2302,26-35,Male
INV001696,SIP,2285,56+,Female
INV002847,Redemption,255648,26-35,Male
INV000074,SIP,2005,26-35,Female
INV004714,Lumpsum,337687,36-45,Male
INV003294,Redemption,249450,26-35,Female
INV004450,SIP,55566,36-45,Male
INV003232,Redemption,423309,36-45,Female
INV001122,SIP,16130,46-55,Female
INV004647,Lumpsum,218815,36-45,Female
INV001333,SIP,803,26-35,Female
INV001220,SIP,570,36-45,Male
INV004226,Redemption,88746,18-25,Male
INV000081,Lumpsum,283811,36-45,Male
INV001021,SIP,20743,56+,Male
INV000583,Lumpsum,278514,26-35,Male
INV002679,Lumpsum,334718,36-45,Male
INV003342,Redemption,189489,56+,Male
INV002361,SIP,5081,36-45,Male
INV001605,SIP,55254,26-35,Female
INV002796,SIP,917,36-45,Male
INV000759,SIP,438,26-35,Male
INV002932,SIP,2386,36-45,Female
INV000825,Lumpsum,342462,18-25,Female
INV000684,Redemption,117757,26-35,Male
INV001407,SIP,17925,26-35,Female
INV000683,SIP,2362,26-35,Female
INV000399,SIP,1159,26-35,Male
INV002232,SIP,17948,26-35,Female
INV002549,SIP,1195,26-35,Male
INV003536,SIP,17568,36-45,Male
INV001697,SIP,48897,18-25,Male
INV001011,SIP,2227,26-35,Male
INV001109,SIP,1652,26-35,Male
INV003978,SIP,25496,26-35,Female
INV001747,Lumpsum,394469,18-25,Female
INV004285,Lumpsum,154122,26-35,Male
INV003161,Lumpsum,341506,36-45,Female
INV001111,Redemption,150718,18-25,Male
INV000567,Lumpsum,329312,26-35,Male
INV003713,SIP,2267,36-45,Female
INV003902,Redemption,357460,26-35,Male
INV000156,SIP,3302,46-55,Male
INV000260,SIP,2582,18-25,Male
INV001916,SIP,2612,26-35,Male
INV003473,SIP,1197,26-35,Male
INV003136,Lumpsum,21407,56+,Male
INV001385,SIP,2097,26-35,Male
INV004833,Lumpsum,351348,26-35,Female
INV004983,Redemption,170231,26-35,Male
INV004887,Lumpsum,4541,56+,Female
INV004946,Redemption,186769,26-35,Female
INV004609,Lumpsum,54390,26-35,Female
INV004609,SIP,3263,26-35,Female
INV002754,SIP,17836,46-55,Male
INV003398,Lumpsum,325398,36-45,Male
INV004774,Lumpsum,357780,36-45,Male
INV002951,Lumpsum,28656,36-45,Male
INV002523,Lumpsum,283929,46-55,Female
INV003957,SIP,4104,36-45,Male
INV000833,SIP,2520,18-25,Male
INV004178,SIP,1991,26-35,Male
INV003133,Lumpsum,316291,46-55,Male
INV000138,Lumpsum,183948,26-35,Male
INV001105,Lumpsum,310210,18-25,Female
INV000044,Lumpsum,308582,36-45,Male
INV004672,Lumpsum,443932,26-35,Male
INV001287,SIP,4216,36-45,Female
INV004852,SIP,498,36-45,Male
INV001881,SIP,29130,26-35,Male
INV000608,SIP,14394,46-55,Male
INV002030,Redemption,508939,36-45,Male
INV003171,SIP,8539,36-45,Female
INV002101,SIP,1651,26-35,Male
INV000818,Redemption,317854,56+,Female
INV002951,Lumpsum,243569,36-45,Male
INV002490,SIP,6591,36-45,Female
INV002690,Redemption,240839,36-45,Male
INV002168,SIP,9383,36-45,Male
INV003544,SIP,28671,26-35,Male
INV000463,SIP,451,26-35,Male
INV002958,Lumpsum,81990,26-35,Male
INV002069,SIP,50812,46-55,Male
INV000167,SIP,4859,56+,Male
INV001579,SIP,2446,46-55,Male
INV001692,SIP,4921,26-35,Male
INV004080,Lumpsum,242739,26-35,Female
INV004957,SIP,2190,36-45,Male
INV000293,SIP,17150,26-35,Female
INV000630,Redemption,364446,26-35,Male
INV001765,Lumpsum,97105,46-55,Male
INV000578,Lumpsum,115684,26-35,Male
INV000367,SIP,6893,36-45,Male
INV002223,SIP,14814,36-45,Female
INV002520,Lumpsum,354499,36-45,Male
INV001410,Lumpsum,204366,46-55,Male
INV003815,Lumpsum,591598,36-45,Male
INV001701,Redemption,49289,26-35,Female
INV002950,Lumpsum,423091,46-55,Female
INV004380,Redemption,413580,36-45,Male
INV000960,SIP,808,46-55,Male
INV001259,Lumpsum,290394,26-35,Female
INV000432,Lumpsum,208366,18-25,Female
INV002107,SIP,24487,26-35,Male
INV000313,Lumpsum,92005,18-25,Female
INV002570,Lumpsum,497379,36-45,Male
INV004253,Lumpsum,307911,36-45,Male
INV003787,SIP,7284,46-55,Male
INV001013,SIP,10012,36-45,Male
INV001064,SIP,29058,46-55,Male
INV002584,SIP,22012,36-45,Female
INV004932,Lumpsum,352318,26-35,Female
INV004058,SIP,2250,26-35,Male
INV001480,SIP,12372,18-25,Male
INV003973,Redemption,180481,26-35,Male
INV001228,Redemption,199032,36-45,Female
INV000659,SIP,409,26-35,Male
INV001006,SIP,41669,56+,Female
INV002772,SIP,4196,26-35,Male
INV004741,Lumpsum,312903,26-35,Female
INV000129,Lumpsum,172590,26-35,Female
INV004638,Lumpsum,429333,26-35,Male
INV004513,SIP,2476,36-45,Female
INV002739,SIP,40730,36-45,Female
INV000082,SIP,2172,26-35,Female
INV000059,SIP,1764,18-25,Male
INV003485,Lumpsum,300613,36-45,Male
INV003974,SIP,14754,46-55,Male
INV004441,SIP,2935,26-35,Male
INV001455,SIP,7465,36-45,Male
INV001680,SIP,9658,26-35,Male
INV003803,Lumpsum,127751,26-35,Male
INV002379,SIP,4723,26-35,Male
INV001680,Lumpsum,449350,26-35,Male
INV004717,Redemption,278427,36-45,Female
INV004581,SIP,4666,26-35,Male
INV001398,SIP,982,26-35,Female
INV002335,SIP,588,26-35,Male
INV004817,SIP,2330,26-35,Male
INV004588,Lumpsum,262725,46-55,Female
INV002790,Lumpsum,113021,18-25,Male
INV000009,Lumpsum,221876,26-35,Male
INV001472,SIP,416,18-25,Male
INV000047,SIP,14078,36-45,Male
INV004290,SIP,2094,46-55,Male
INV001778,SIP,13966,26-35,Male
INV003267,SIP,8062,36-45,Male
INV001679,SIP,2146,36-45,Female
INV003581,Lumpsum,25869,56+,Male
INV003801,SIP,8589,26-35,Male
INV000360,Redemption,370882,36-45,Female
INV002935,Lumpsum,177507,18-25,Male
INV002416,Redemption,238540,26-35,Female
INV003321,SIP,4896,46-55,Male
INV004914,SIP,9755,26-35,Female
INV004384,SIP,26601,26-35,Male
INV004763,SIP,11399,46-55,Female
INV003263,SIP,51128,26-35,Female
INV004253,SIP,5617,36-45,Male
INV004958,SIP,13889,36-45,Male
INV001709,SIP,2520,36-45,Male
INV001745,Lumpsum,313454,18-25,Male
INV004775,SIP,9483,18-25,Male
INV003328,SIP,14899,26-35,Female
INV001981,Lumpsum,41523,26-35,Male
INV000752,Redemption,181748,46-55,Male
INV004514,SIP,1657,46-55,Male
INV002628,Lumpsum,348334,26-35,Male
INV004871,SIP,58929,26-35,Male
INV002070,SIP,7341,36-45,Male
INV002099,Lumpsum,197684,36-45,Female
INV002510,SIP,12400,36-45,Male
INV002679,SIP,9173,36-45,Male
INV002403,SIP,1018,18-25,Male
INV003863,SIP,5867,36-45,Male
INV000056,SIP,7539,26-35,Female
INV001873,SIP,1144,36-45,Female
INV001648,Redemption,364017,46-55,Female
INV004339,SIP,3544,26-35,Female
INV001547,Redemption,332505,36-45,Male
INV003312,SIP,11376,26-35,Male
INV002854,SIP,1616,26-35,Female
INV004434,Lumpsum,366713,46-55,Male
INV000881,SIP,4740,26-35,Male
INV000228,SIP,9199,26-35,Male
INV004924,SIP,881,36-45,Male
INV001769,Lumpsum,422150,18-25,Male
INV003198,Lumpsum,191311,46-55,Female
INV001765,Lumpsum,489627,46-55,Male
INV004600,Redemption,272996,46-55,Female
INV001499,SIP,5264,26-35,Male
INV004814,SIP,2133,18-25,Female
INV001885,Lumpsum,231186,26-35,Male
INV002700,SIP,1724,26-35,Male
INV000711,Lumpsum,536709,56+,Male
INV002552,SIP,7826,36-45,Male
INV002782,Lumpsum,346937,18-25,Male
INV001333,Lumpsum,78411,26-35,Female
INV004431,Redemption,35842,26-35,Male
INV002471,Lumpsum,80721,18-25,Male
INV000233,SIP,2177,46-55,Male
INV004266,SIP,6545,36-45,Male
INV003385,SIP,550,56+,Female
INV002635,Lumpsum,25827,18-25,Male
INV004038,Redemption,122534,26-35,Female
INV000682,Lumpsum,423276,56+,Female
INV003964,SIP,43989,26-35,Male
INV004172,SIP,42093,26-35,Male
INV002831,Lumpsum,344971,56+,Female
INV003403,Redemption,344953,18-25,Male
INV003218,SIP,45656,18-25,Male
INV001467,SIP,459,36-45,Male
INV004018,Redemption,478549,56+,Male
INV000813,SIP,20378,46-55,Male
INV002281,SIP,17267,18-25,Female
INV004749,SIP,506,56+,Male
INV003539,Lumpsum,489498,56+,Female
INV002495,SIP,8365,26-35,Male
INV001419,SIP,1165,26-35,Male
INV001673,SIP,8715,26-35,Male
INV000263,SIP,5323,56+,Male
INV004270,Lumpsum,52867,18-25,Male
INV003492,Redemption,350981,36-45,Male
INV000989,SIP,14264,36-45,Male
INV000755,Lumpsum,248873,26-35,Female
INV003144,SIP,7683,36-45,Female
INV004961,Redemption,366253,36-45,Male
INV004719,SIP,6744,46-55,Male
INV000142,Lumpsum,145769,26-35,Male
INV004223,SIP,412,36-45,Female
INV002140,SIP,4177,26-35,Male
INV003537,Lumpsum,131820,18-25,Male
INV001854,Lumpsum,490229,46-55,Male
INV004135,SIP,2477,26-35,Female
INV003423,SIP,6139,18-25,Female
INV004510,SIP,9343,56+,Male
INV004344,Redemption,360347,26-35,Male
INV000532,Redemption,31942,26-35,Male
INV000214,SIP,2346,26-35,Female
INV003181,SIP,5882,18-25,Female
INV003736,SIP,25566,18-25,Male
INV003742,SIP,17737,56+,Female
INV000703,SIP,7759,26-35,Male
INV004353,Lumpsum,222986,56+,Male
INV001106,SIP,9669,26-35,Male
INV002176,Lumpsum,400583,56+,Male
INV001047,Lumpsum,475917,56+,Female
INV004388,Lumpsum,116845,26-35,Female
INV002885,Lumpsum,45105,26-35,Male
INV000566,Lumpsum,10380,36-45,Male
INV002131,SIP,539,46-55,Male
INV002344,Lumpsum,28178,46-55,Female
INV001863,Lumpsum,385999,36-45,Male
INV003797,Lumpsum,208518,26-35,Male
INV003352,SIP,8444,36-45,Male
INV003229,Redemption,44755,46-55,Female
INV001744,SIP,3510,26-35,Male
INV001066,Lumpsum,205518,26-35,Male
INV000171,SIP,525,18-25,Female
INV003602,SIP,501,46-55,Male
INV002545,Redemption,386932,36-45,Male
INV001865,SIP,3474,18-25,Female
INV000543,SIP,16243,36-45,Male
